Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude,Date
1355 West 14th,Fairview Apartments,"1355 West 14th Ave, Vancouver, BC V6H None",Vancouver,South Granville - Plan A,Studios,1 Bathroom,425 SQFT,"$2,145","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25891454941143,-123.13508787635013,2024-01-05 18:57:07.355
1355 West 14th,Fairview Apartments,"1355 West 14th Ave, Vancouver, BC V6H None",Vancouver,South Granville - Plan A,2 Bedrooms,1 Bathroom,792 SQFT,"$3,499","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25891454941143,-123.13508787635013,2024-01-05 18:57:07.355
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,West & North Facing 1 Bedroom,1 Bedrooms,1 Bathroom,665 SQFT,"$2,995","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,49.28690570358419,-123.14140539363588,2024-01-05 18:57:07.355
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,Spacious 1 Bedroom,1 Bedrooms,1 Bathroom,665 SQFT,"$2,995","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,49.28690570358419,-123.14140539363588,2024-01-05 18:57:07.355
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,Direct Ocean View 1 Bedroom,1 Bedrooms,1 Bathroom,665 SQFT,"$3,300—$3,650","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,49.28690570358419,-123.14140539363588,2024-01-05 18:57:07.355
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,West Facing Partial Ocean View 1 Bedroom,1 Bedrooms,1 Bathroom,665 SQFT,"$3,500","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,49.28690570358419,-123.14140539363588,2024-01-05 18:57:07.355
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,Direct Ocean View 2 Bedroom,2 Bedrooms,1 Bathroom,850 SQFT,"$4,300","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,49.28690570358419,-123.14140539363588,2024-01-05 18:57:07.355
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,Ocean View 2 Bedroom,2 Bedrooms,1 Bathroom,850 SQFT,"$4,300","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,49.28690570358419,-123.14140539363588,2024-01-05 18:57:07.355
2244 West 6th,Kitsilano Apartments,"2244 West 6th Ave, Vancouver, BC V6K None",Vancouver,Sabanna Terrace - Plan B,Studios,1 Bathroom,466 SQFT,"$2,425","Dishwasher, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26640615877288,-123.15634104758098,2024-01-05 18:57:07.355
2244 West 6th,Kitsilano Apartments,"2244 West 6th Ave, Vancouver, BC V6K None",Vancouver,Sabanna Terrace - Plan C,1 Bedrooms,1 Bathroom,603 SQFT,"$2,625","Dishwasher, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26640615877288,-123.15634104758098,2024-01-05 18:57:07.355
2244 West 6th,Kitsilano Apartments,"2244 West 6th Ave, Vancouver, BC V6K None",Vancouver,Sabanna Terrace - Plan I,1 Bedrooms,1 Bathroom,606 SQFT,"$3,075","Dishwasher, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26640615877288,-123.15634104758098,2024-01-05 18:57:07.355
2244 West 6th,Kitsilano Apartments,"2244 West 6th Ave, Vancouver, BC V6K None",Vancouver,Sabanna Terrace - Plan A,1 Bedrooms,1 Bathroom,600 SQFT,"$3,215","Dishwasher, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26640615877288,-123.15634104758098,2024-01-05 18:57:07.355
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan A,Studios,1 Bathroom,475 SQFT,"$2,145","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-01-05 18:57:07.355
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan C,1 Bedrooms,1 Bathroom,699 SQFT,"$2,425","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-01-05 18:57:07.355
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan I,1 Bedrooms,1 Bathroom,635 SQFT,"$2,749","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-01-05 18:57:07.355
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan H,1 Bedrooms,1 Bathroom,634 SQFT,"$2,775","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-01-05 18:57:07.355
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan N,2 Bedrooms,2 Bathrooms,790 SQFT,"$3,010","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-01-05 18:57:07.355
The Glenmore,West End Apartments,"1885 Barclay St, Vancouver, BC V6G 1K7",Vancouver,The Glenmore - Plan E,1 Bedrooms,1 Bathroom,423 SQFT,"$2,357","Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.2909633280581,-123.13881341523404,2024-01-05 18:57:07.355
The Glenmore,West End Apartments,"1885 Barclay St, Vancouver, BC V6G 1K7",Vancouver,The Glenmore - Plan B,1 Bedrooms,1 Bathroom,708 SQFT,"$2,799","Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.2909633280581,-123.13881341523404,2024-01-05 18:57:07.355
1461 Harwood,West End Apartments,"1461 Harwood St, Vancouver, BC V6G 1X7",Vancouver,Bay Tower - Plan A,Studios,1 Bathroom,508 SQFT,"$2,699","Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.28280184032944,-123.13910845769496,2024-01-05 18:57:07.355
1461 Harwood,West End Apartments,"1461 Harwood St, Vancouver, BC V6G 1X7",Vancouver,Bay Tower - Plan A,1 Bedrooms,1 Bathroom,642 SQFT,"$2,519","Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.28280184032944,-123.13910845769496,2024-01-05 18:57:07.355
1326 West 13th,Fairview Apartments,"1326 West 13th Ave, Vancouver, BC V6H None",Vancouver,Alexander Tower - Plan C,1 Bedrooms,1 Bathroom,422 SQFT,"$2,333","Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25969809231293,-123.13449518431877,2024-01-05 18:57:07.355
1326 West 13th,Fairview Apartments,"1326 West 13th Ave, Vancouver, BC V6H None",Vancouver,Alexander Tower - Plan A,1 Bedrooms,1 Bathroom,570 SQFT,"$2,625","Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25969809231293,-123.13449518431877,2024-01-05 18:57:07.355
The Riley,Riley Park ,"181 East 32nd Ave, Vancouver, BC V5V None",Vancouver,Jr. One Bed,1 Bedrooms,1 Bathroom,410 SQFT,"$2,675","Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.24206436972395,-123.101713605157,2024-01-05 18:57:07.355
The Riley,Riley Park ,"181 East 32nd Ave, Vancouver, BC V5V None",Vancouver,One Bed + Den,1 Bedrooms,1 Bathroom,545 SQFT,"$2,925","Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.24206436972395,-123.101713605157,2024-01-05 18:57:07.355
The Riley,Riley Park ,"181 East 32nd Ave, Vancouver, BC V5V None",Vancouver,Two Bed,2 Bedrooms,2 Bathrooms,716 SQFT,"$3,825","Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.24206436972395,-123.101713605157,2024-01-05 18:57:07.355
The Riley,Riley Park ,"181 East 32nd Ave, Vancouver, BC V5V None",Vancouver,Two Bed,2 Bedrooms,2 Bathrooms,835 SQFT,"$3,900","Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.24206436972395,-123.101713605157,2024-01-05 18:57:07.355
The Fraser,Riley Park ,"3833 Fraser St, Vancouver, BC V5V 4E3",Vancouver,1BR 1BA & small patio,1 Bedrooms,1 Bathroom,653 SQFT,"$2,795","Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.250577767643314,-123.0902152367234,2024-01-05 18:57:07.355
The Fraser,Riley Park ,"3833 Fraser St, Vancouver, BC V5V 4E3",Vancouver,"3BR+Flex, 2BA & patio",3 Bedrooms,2 Bathrooms,"1,065 SQFT","$4,250","Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.250577767643314,-123.0902152367234,2024-01-05 18:57:07.355
The Grace,Kitsilano Apartments,"2468 Balaclava St, Vancouver, BC V6K 0G8",Vancouver,"The Grace - 1BR + flex, 1BA",1 Bedrooms,1 Bathroom,656 SQFT,"$2,695","Assigned Parking, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",No pets,49.264420765222695,-123.17387864602216,2024-01-05 18:57:07.355
The Grace,Kitsilano Apartments,"2468 Balaclava St, Vancouver, BC V6K 0G8",Vancouver,The Grace: 2BR 2BA and large patio,2 Bedrooms,2 Bathrooms,"1,776 SQFT","$3,999","Assigned Parking, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",No pets,49.264420765222695,-123.17387864602216,2024-01-05 18:57:07.355
Ocean Park Place Apartments,West End Apartments,"990 Broughton St, Vancouver, BC V6G 2A5",Vancouver,"Bachelor available at 990 Broughton Street, Vancouver",Studios,1 Bathroom,410 SQFT,"$2,505","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Storage",Dogs & Cats,49.28602362918453,-123.13263421488666,2024-01-05 18:57:07.355
Ocean Park Place Apartments,West End Apartments,"990 Broughton St, Vancouver, BC V6G 2A5",Vancouver,"1 Bdrm available at 990 Broughton Street, Vancouver",1 Bedrooms,1 Bathroom,550 SQFT,"$2,810","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Storage",Dogs & Cats,49.28602362918453,-123.13263421488666,2024-01-05 18:57:07.355
Ocean Park Place Apartments,West End Apartments,"990 Broughton St, Vancouver, BC V6G 2A5",Vancouver,"2 Bdrm available at 990 Broughton Street, Vancouver",2 Bedrooms,1 Bathroom,680 SQFT,"$3,640","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Storage",Dogs & Cats,49.28602362918453,-123.13263421488666,2024-01-05 18:57:07.355
Fraser Flats Apartments,Killarney Apartments,"3688 3618-3688 Sawmill Crescent, Vancouver, BC V5S 0E6",Vancouver,"1 Bdrm available at 3618-3688 Sawmill Crescent, Vancouver",1 Bedrooms,1 Bathroom,586 SQFT,"$2,465","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Storage",Dogs & Cats,49.206212796012124,-123.02454438634636,2024-01-05 18:57:07.355
Fraser Flats Apartments,Killarney Apartments,"3688 3618-3688 Sawmill Crescent, Vancouver, BC V5S 0E6",Vancouver,"1 Bdrm + Den available at 3618-3688 Sawmill Crescent, Vancouver",1 Bedrooms,1 Bathroom,710 SQFT,"$2,520","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Storage",Dogs & Cats,49.206212796012124,-123.02454438634636,2024-01-05 18:57:07.355
Fraser Flats Apartments,Killarney Apartments,"3688 3618-3688 Sawmill Crescent, Vancouver, BC V5S 0E6",Vancouver,"2 Bdrm available at 3618-3688 Sawmill Crescent, Vancouver",2 Bedrooms,1 Bathroom,862 SQFT,"$3,075","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Storage",Dogs & Cats,49.206212796012124,-123.02454438634636,2024-01-05 18:57:07.355
The Residency,West End Apartments,"1049 Chilco St, Vancouver, BC V6G 2R7",Vancouver,One Bedroom,1 Bedrooms,1 Bathroom,569 SQFT,"$2,695","Assigned Parking, Carpet, Dishwasher, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage, Wheelchair Accessible",No pets,49.29035072483826,-123.14307963847638,2024-01-05 18:57:07.355
The Residency,West End Apartments,"1049 Chilco St, Vancouver, BC V6G 2R7",Vancouver,Two Bedrooms,2 Bedrooms,1 Bathroom,904 SQFT,"$3,550—$3,795","Assigned Parking, Carpet, Dishwasher, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage, Wheelchair Accessible",No pets,49.29035072483826,-123.14307963847638,2024-01-05 18:57:07.355
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,1 Bedrooms,1 Bathroom,488 SQFT,"$2,775—$2,950","Assigned Parking, Dishwasher, Furnished, On Site Laundry",On Site Laundry,Dogs & Cats,49.28572306748246,-123.13065696899176,2024-01-05 18:57:07.355
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,2 Bedrooms,1 Bathroom,707 SQFT,"$3,575—$3,675","Assigned Parking, Dishwasher, Furnished, On Site Laundry",On Site Laundry,Dogs & Cats,49.28572306748246,-123.13065696899176,2024-01-05 18:57:07.355
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Aprtment,2 Bedrooms,1 Bathroom,681 SQFT,"$3,590","Assigned Parking, Dishwasher, Furnished, On Site Laundry",On Site Laundry,Dogs & Cats,49.28572306748246,-123.13065696899176,2024-01-05 18:57:07.355
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,3 Bedrooms,1 Bathroom,"1,080 SQFT","$4,300","Assigned Parking, Dishwasher, Furnished, On Site Laundry",On Site Laundry,Dogs & Cats,49.28572306748246,-123.13065696899176,2024-01-05 18:57:07.355
Azura 1 ,Downtown Vancouver Apartments,"1495 1495 / 1438 Richards St, Vancouver, BC V6Z 3B9",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,750 SQFT,"$2,700",,,No pets,49.2726,-123.12801,2024-01-05 18:57:07.355
Azura 1 ,Downtown Vancouver Apartments,"1495 1495 / 1438 Richards St, Vancouver, BC V6Z 3B9",Vancouver,2 Bedroom,2 Bedrooms,2 Bathrooms,"1,138 SQFT","$4,200",,,No pets,49.2726,-123.12801,2024-01-05 18:57:07.355
Vancouver House,Downtown Vancouver Apartments,"1480 Howe St, Vancouver, BC V6Z 0G5",Vancouver,Condos,Studios,1 Bathroom,434 SQFT,"$2,800","Air Conditioning, Assigned Parking, Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,49.27490144243474,-123.13148574414824,2024-01-05 18:57:07.355
Vancouver House,Downtown Vancouver Apartments,"1480 Howe St, Vancouver, BC V6Z 0G5",Vancouver,Condos,1 Bedrooms,1 Bathroom,361 SQFT,"$2,750—$3,400","Air Conditioning, Assigned Parking, Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,49.27490144243474,-123.13148574414824,2024-01-05 18:57:07.355
Vancouver House,Downtown Vancouver Apartments,"1480 Howe St, Vancouver, BC V6Z 0G5",Vancouver,Condos,2 Bedrooms,2 Bathrooms,660 SQFT,"$4,000","Air Conditioning, Assigned Parking, Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,49.27490144243474,-123.13148574414824,2024-01-05 18:57:07.355
Eterno,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Luxury,1 Bedrooms,1 Bathroom,465 SQFT,"$2,850—$3,000","Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.28196754630817,-123.13160710279269,2024-01-05 18:57:07.355
Eterno,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Luxury,2 Bedrooms,1 Bathroom,705 SQFT,"$3,590—$3,650","Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.28196754630817,-123.13160710279269,2024-01-05 18:57:07.355
Eterno,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Luxury,2 Bedrooms,2 Bathrooms,705 SQFT,"$3,750—$3,975","Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.28196754630817,-123.13160710279269,2024-01-05 18:57:07.355
Eterno,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Penthouse,2 Bedrooms,2 Bathrooms,790 SQFT,"$4,750","Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.28196754630817,-123.13160710279269,2024-01-05 18:57:07.355
Eterno,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Penthouse,3 Bedrooms,2 Bathrooms,745 SQFT,"$5,000","Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.28196754630817,-123.13160710279269,2024-01-05 18:57:07.355
One Burrard Place,Downtown Vancouver Apartments,"1289 Hornby St, Vancouver, BC V6Z 0G7",Vancouver,Condo,Studios,1 Bathroom,439 SQFT,"$2,750—$3,000","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Swimming Pool, Wheelchair Accessible",Dogs & Cats,49.27755023450039,-123.12956476579946,2024-01-05 18:57:07.355
One Burrard Place,Downtown Vancouver Apartments,"1289 Hornby St, Vancouver, BC V6Z 0G7",Vancouver,Condo,1 Bedrooms,1 Bathroom,464 SQFT,"$3,200","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Swimming Pool, Wheelchair Accessible",Dogs & Cats,49.27755023450039,-123.12956476579946,2024-01-05 18:57:07.355
The Florida,West End Apartments,"1170 Barclay St, Vancouver, BC V6E 1H1",Vancouver,Luxury,Studios,1 Bathroom,400 SQFT,"$2,700—$2,875","Assigned Parking, Balcony, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.284466824312425,-123.12904438308712,2024-01-05 18:57:07.355
