Building,Address,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude,City
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,577 SQFT,"$2,632","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,608 SQFT,"$2,639","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",2 Bedroom 2 Bathroom,2 Bedrooms,2 Bathrooms,725 SQFT,"$3,309","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",2 Bedroom 2 Bathroom,2 Bedrooms,2 Bathrooms,780 SQFT,"$3,394","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",2 Bedroom 2 Bathroom,2 Bedrooms,2 Bathrooms,779 SQFT,"$3,429","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
40 Alexander Street,"40 Alexander St, Toronto, ON M4Y 1B5",Renovated Studio,Studios,1 Bathroom,342 SQFT,"$2,200","Air Conditioning, Hardwood Floor, On Site Laundry","On Site Laundry, Storage",Dogs & Cats,43.66336124986251,-79.3819078626397,Toronto
40 Alexander Street,"40 Alexander St, Toronto, ON M4Y 1B5",1 Bedroom,1 Bedrooms,1 Bathroom,665 SQFT,"$2,500","Air Conditioning, Hardwood Floor, On Site Laundry","On Site Laundry, Storage",Dogs & Cats,43.66336124986251,-79.3819078626397,Toronto
40 Alexander Street,"40 Alexander St, Toronto, ON M4Y 1B5",Renovated Deluxe One Bedroom,1 Bedrooms,1 Bathroom,683 SQFT,"$2,625","Air Conditioning, Hardwood Floor, On Site Laundry","On Site Laundry, Storage",Dogs & Cats,43.66336124986251,-79.3819078626397,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A11 One Bedroom,1 Bedrooms,1 Bathroom,524 SQFT,"$2,443","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A11 One Bedroom,1 Bedrooms,1 Bathroom,524 SQFT,"$2,555","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A11 One Bedroom,1 Bedrooms,1 Bathroom,524 SQFT,"$2,579","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A13 One Bedroom,1 Bedrooms,1 Bathroom,603 SQFT,"$2,619","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A13 One Bedroom,1 Bedrooms,1 Bathroom,603 SQFT,"$2,624","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A11 One Bedroom,1 Bedrooms,1 Bathroom,524 SQFT,"$2,634","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A10 One Bedroom,1 Bedrooms,1 Bathroom,565 SQFT,"$2,669","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A13 One Bedroom,1 Bedrooms,1 Bathroom,603 SQFT,"$2,704","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A15 One Bedroom,1 Bedrooms,1 Bathroom,582 SQFT,"$2,797","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",A15 One Bedroom,1 Bedrooms,1 Bathroom,582 SQFT,"$2,814","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B2 Two Bedroom,2 Bedrooms,2 Bathrooms,821 SQFT,"$3,263","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B6 Two Bedroom,2 Bedrooms,2 Bathrooms,874 SQFT,"$3,279","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B6 Two Bedroom,2 Bedrooms,2 Bathrooms,874 SQFT,"$3,289","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B5 Two Bedroom,2 Bedrooms,2 Bathrooms,868 SQFT,"$3,390","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B5 Two Bedroom,2 Bedrooms,2 Bathrooms,868 SQFT,"$3,399","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B2 Two Bedroom,2 Bedrooms,2 Bathrooms,821 SQFT,"$3,412","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B2 Two Bedroom,2 Bedrooms,2 Bathrooms,821 SQFT,"$3,412","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B6 Two Bedroom,2 Bedrooms,2 Bathrooms,874 SQFT,"$3,422","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B6 Two Bedroom,2 Bedrooms,2 Bathrooms,874 SQFT,"$3,432","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B5 Two Bedroom,2 Bedrooms,2 Bathrooms,868 SQFT,"$3,527","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B4 Two Bedroom,2 Bedrooms,2 Bathrooms,863 SQFT,"$3,582","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B4 Two Bedroom,2 Bedrooms,2 Bathrooms,863 SQFT,"$3,592","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B3 Two Bedroom,2 Bedrooms,2 Bathrooms,863 SQFT,"$3,652","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B3 Two Bedroom,2 Bedrooms,2 Bathrooms,863 SQFT,"$3,652","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B2 Two Bedroom,2 Bedrooms,2 Bathrooms,821 SQFT,"$3,657","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",B4 Two Bedroom,2 Bedrooms,2 Bathrooms,863 SQFT,"$3,842","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
The Selby,"25 Selby St, Toronto, ON M4Y 0E6",C3 Three Bedroom,3 Bedrooms,2 Bathrooms,"1,093 SQFT","$4,754","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.67135917305433,-79.37653257464821,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A3 One Bedroom,1 Bedrooms,1 Bathroom,507 SQFT,"$2,564","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,594","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,594","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,594","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,599","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,599","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,599","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,599","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,604","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A7 One Bedroom,1 Bedrooms,1 Bathroom,523 SQFT,"$2,609","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,609","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,609","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,614","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,614","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,614","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,614","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
Maple House at Canary Landing,"131 Mill St, Toronto, ON M5A 2Z8",A1 One Bedroom,1 Bedrooms,1 Bathroom,483 SQFT,"$2,619","Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.65162672443693,-79.3558931318249,Toronto
