Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Unit Amenities,Building Amenities,Pets,Price,Latitude,Longitude,Date,Url
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,550 SQFT,"Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,995",49.2859436857437,-123.13963124269634,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220470/zephyr-apartments-at-1661-davie-st-vancouver-bc-v6g-1w1
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,2 Bedroom,2 Bedrooms,2 Bathrooms,918 SQFT,"Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$4,495",49.2859436857437,-123.13963124269634,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220470/zephyr-apartments-at-1661-davie-st-vancouver-bc-v6g-1w1
5815 Yew Street,Kerrisdale Apartments,"5815 Yew St, Vancouver, BC V6M 3Y6",Vancouver,Vancouver Bachelor,Studios,1 Bathroom,482 SQFT,"Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry, Oven","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Dogs & Cats,"$2,627",49.23332523855991,-123.15863758314504,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p228884/apartments-at-5815-yew-st-vancouver-bc-v6m-3y6
5815 Yew Street,Kerrisdale Apartments,"5815 Yew St, Vancouver, BC V6M 3Y6",Vancouver,Vancouver 1 Bedroom,1 Bedrooms,1 Bathroom,655 SQFT,"Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry, Oven","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Dogs & Cats,"$2,769",49.23332523855991,-123.15863758314504,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p228884/apartments-at-5815-yew-st-vancouver-bc-v6m-3y6
2035 Barclay Street,West End Apartments,"2035 Barclay St, Vancouver, BC V6G 1L6",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,478 SQFT,"On Site Laundry, Oven","Elevator, On Site Laundry",Dogs & Cats,"$2,750—$2,796",49.29237031116254,-123.14095738392858,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p528695/apartments-at-2035-barclay-st-vancouver-bc-v6g-1l6
2035 Barclay Street,West End Apartments,"2035 Barclay St, Vancouver, BC V6G 1L6",Vancouver,2 Bedroom,2 Bedrooms,1 Bathroom,684 SQFT,"On Site Laundry, Oven","Elevator, On Site Laundry",Dogs & Cats,"$3,199—$3,549",49.29237031116254,-123.14095738392858,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p528695/apartments-at-2035-barclay-st-vancouver-bc-v6g-1l6
1255 Pendrell Street,West End Apartments,"1255 Pendrell St, Vancouver, BC V6E 1L7",Vancouver,Studio,Studios,1 Bathroom,436 SQFT,"Assigned Parking, Balcony, Dishwasher, On Site Laundry, Oven","Garage Parking, On Site Laundry, Onsite Management, Storage",No pets,"$2,367—$2,371",49.283275695793606,-123.13339513462924,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p674390/apartments-at-1255-pendrell-st-vancouver-bc-v6e-1l7
1255 Pendrell Street,West End Apartments,"1255 Pendrell St, Vancouver, BC V6E 1L7",Vancouver,1bdrm,1 Bedrooms,1 Bathroom,516 SQFT,"Assigned Parking, Balcony, Dishwasher, On Site Laundry, Oven","Garage Parking, On Site Laundry, Onsite Management, Storage",No pets,"$2,828—$2,869",49.283275695793606,-123.13339513462924,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p674390/apartments-at-1255-pendrell-st-vancouver-bc-v6e-1l7
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A2- Studio 1 Bath,Studios,1 Bathroom,420 SQFT,"In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,400",49.28307300335392,-123.1132789494184,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A3- Studio 1 Bath,Studios,1 Bathroom,400 SQFT,"In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,500",49.28307300335392,-123.1132789494184,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,D- 2BD 2BTH Flex,2 Bedrooms,2 Bathrooms,750 SQFT,"In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$3,760",49.28307300335392,-123.1132789494184,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,C- 2BD 2BTH,2 Bedrooms,2 Bathrooms,810 SQFT,"In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$4,250",49.28307300335392,-123.1132789494184,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none
945 Jervis Street,West End Apartments,"945 Jervis St, Vancouver, BC V6E 2B8",Vancouver,Studio,Studios,1 Bathroom,439 SQFT,"Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry, Oven","Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,"$2,203—$2,412",49.28533782866158,-123.13119359080264,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p604297/apartments-at-945-jervis-st-vancouver-bc-v6e-2b8
945 Jervis Street,West End Apartments,"945 Jervis St, Vancouver, BC V6E 2B8",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,612 SQFT,"Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry, Oven","Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,"$3,012—$3,092",49.28533782866158,-123.13119359080264,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p604297/apartments-at-945-jervis-st-vancouver-bc-v6e-2b8
1348 Barclay Street,West End Apartments,"1348 Barclay St, Vancouver, BC V6E 1H7",Vancouver,Studio,Studios,1 Bathroom,445 SQFT,"Assigned Parking, Dishwasher, On Site Laundry, Oven","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,"$2,696",49.28624123486091,-123.13176092809545,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p602868/apartments-at-1348-barclay-st-vancouver-bc-v6e-1h7
1348 Barclay Street,West End Apartments,"1348 Barclay St, Vancouver, BC V6E 1H7",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,580 SQFT,"Assigned Parking, Dishwasher, On Site Laundry, Oven","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,"$2,812—$2,949",49.28624123486091,-123.13176092809545,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p602868/apartments-at-1348-barclay-st-vancouver-bc-v6e-1h7
1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,Studio,Studios,1 Bathroom,445 SQFT,On Site Laundry,"Elevator, On Site Laundry, Onsite Management",Dogs & Cats,"$2,199—$2,457",49.27675181228668,-123.1305258244942,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p646416/apartments-at-1360-hornby-st-vancouver-bc-v6z-1w5
1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,551 SQFT,On Site Laundry,"Elevator, On Site Laundry, Onsite Management",Dogs & Cats,"$2,625—$2,763",49.27675181228668,-123.1305258244942,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p646416/apartments-at-1360-hornby-st-vancouver-bc-v6z-1w5
Wesley Place,West End Apartments,"1022 Nelson St, Vancouver, BC V6E 4S7",Vancouver,0 Bedroom | 1 Bathroom,Studios,1 Bathroom,398 SQFT,"Assigned Parking, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",No pets,"$2,385",49.281581389800365,-123.1267284613922,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p368034/wesley-place-apartments-at-1022-nelson-st-vancouver-bc-v6e-4s7
Wesley Place,West End Apartments,"1022 Nelson St, Vancouver, BC V6E 4S7",Vancouver,2 Bedroom | 1 Bathroom,2 Bedrooms,1 Bathroom,691 SQFT,"Assigned Parking, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",No pets,"$3,395",49.281581389800365,-123.1267284613922,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p368034/wesley-place-apartments-at-1022-nelson-st-vancouver-bc-v6e-4s7
The Bovill,Oakridge Apartments,"188 49th Ave E, Vancouver, BC V5W 0E6",Vancouver,studio,Studios,1 Bathroom,443 SQFT,"Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Cats,"$2,195",49.22560172966707,-123.1025228443768,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p377600/the-bovill-apartments-at-188-49th-ave-e-vancouver-bc-v5w-0e6
The Bovill,Oakridge Apartments,"188 49th Ave E, Vancouver, BC V5W 0E6",Vancouver,1bed,1 Bedrooms,1 Bathroom,537 SQFT,"Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Cats,"$2,595",49.22560172966707,-123.1025228443768,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p377600/the-bovill-apartments-at-188-49th-ave-e-vancouver-bc-v5w-0e6
The Bovill,Oakridge Apartments,"188 49th Ave E, Vancouver, BC V5W 0E6",Vancouver,2bed,2 Bedrooms,1 Bathroom,761 SQFT,"Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Cats,"$3,195",49.22560172966707,-123.1025228443768,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p377600/the-bovill-apartments-at-188-49th-ave-e-vancouver-bc-v5w-0e6
1005 Jervis Street,West End Apartments,"1005 Jervis St, Vancouver, BC V6E 3T1",Vancouver,Vancouver 1 Bedroom,1 Bedrooms,1 Bathroom,436 SQFT,"Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry, Outdoor Space, Oven","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,"$2,459",49.28489604231831,-123.1318938661225,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p221691/apartments-at-1005-jervis-st-vancouver-bc-v6e-3t1
1005 Jervis Street,West End Apartments,"1005 Jervis St, Vancouver, BC V6E 3T1",Vancouver,Vancouver 2 Bedroom,2 Bedrooms,1 Bathroom,737 SQFT,"Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry, Outdoor Space, Oven","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,"$3,708",49.28489604231831,-123.1318938661225,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p221691/apartments-at-1005-jervis-st-vancouver-bc-v6e-3t1
Burrard Place Rental,Downtown Vancouver Apartments,"1289 Hornby St, Vancouver, BC V6Z 0G7",Vancouver,modern studio,Studios,1 Bathroom,500 SQFT,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$2,585",49.27754553492591,-123.12957071517228,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p780822/burrard-place-rental-apartments-at-1289-hornby-st-vancouver-bc-v6z-0g7
Burrard Place Rental,Downtown Vancouver Apartments,"1289 Hornby St, Vancouver, BC V6Z 0G7",Vancouver,Spacious Studio,Studios,1 Bathroom,490 SQFT,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$2,600",49.27754553492591,-123.12957071517228,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p780822/burrard-place-rental-apartments-at-1289-hornby-st-vancouver-bc-v6z-0g7
Burrard Place Rental,Downtown Vancouver Apartments,"1289 Hornby St, Vancouver, BC V6Z 0G7",Vancouver,Furnished Studio,Studios,1 Bathroom,400 SQFT,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$2,850",49.27754553492591,-123.12957071517228,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p780822/burrard-place-rental-apartments-at-1289-hornby-st-vancouver-bc-v6z-0g7
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,A1,Studios,1 Bathroom,429 SQFT,"Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,"$2,750",49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C5,1 Bedrooms,1 Bathroom,521 SQFT,"Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,"$2,884",49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C3,1 Bedrooms,1 Bathroom,491 SQFT,"Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,"$2,894",49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C4,1 Bedrooms,1 Bathroom,525 SQFT,"Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,"$3,244",49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I1,2 Bedrooms,2 Bathrooms,733 SQFT,"Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,"$3,478",49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
Flamingo,West End Apartments,"2061 Beach Ave, Vancouver, BC V6G 1Z3",Vancouver,00101,2 Bedrooms,"1 Full, 1 Half Bath",955 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage",No pets,"$3,695",49.29012170460759,-123.1451313664324,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220485/flamingo-apartments-at-2061-beach-ave-vancouver-bc-v6g-1z3
Flamingo,West End Apartments,"2061 Beach Ave, Vancouver, BC V6G 1Z3",Vancouver,00401,2 Bedrooms,2 Bathrooms,955 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage",No pets,"$3,995",49.29012170460759,-123.1451313664324,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220485/flamingo-apartments-at-2061-beach-ave-vancouver-bc-v6g-1z3
Flamingo,West End Apartments,"2061 Beach Ave, Vancouver, BC V6G 1Z3",Vancouver,G1,2 Bedrooms,1 Bathroom,"1,008 SQFT","Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage",No pets,"$4,495",49.29012170460759,-123.1451313664324,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220485/flamingo-apartments-at-2061-beach-ave-vancouver-bc-v6g-1z3
Flamingo,West End Apartments,"2061 Beach Ave, Vancouver, BC V6G 1Z3",Vancouver,00703,2 Bedrooms,2 Bathrooms,"1,234 SQFT","Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage",No pets,"$6,495",49.29012170460759,-123.1451313664324,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220485/flamingo-apartments-at-2061-beach-ave-vancouver-bc-v6g-1z3
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00903,Studios,1 Bathroom,450 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,"$2,295",49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00305,1 Bedrooms,1 Bathroom,500 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,"$2,295",49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,01203,1 Bedrooms,1 Bathroom,450 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,"$2,495",49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00405,1 Bedrooms,1 Bathroom,500 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,"$2,550",49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00202,1 Bedrooms,1 Bathroom,670 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,"$2,695",49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3
